"matter","qcasenumber"
"121013-0006.001"," 01-19-0002-8143"
"037492-0088 (2)","1:15-cv-02704"
"102611-0001 (5)","08 cv 7140"
"103011-0001 (2)","L-7895-14"
"104776-0001","16-00102"
"068695-0124-87","19-00014"
"068695-0033.001","11 cv 11940"
"114053-0001-03","17-0426"
"PH Temp. Holding (66)","581969"
"028581-0095-02","17-1362"
"088888-0501-01","519857-181744"
"101118-0099-001","17-5230"
"049389-0436","003902/2014"
"052867-0090-02","470-2017-00319"
"107122-0156.001","19CIV00780"
"026723-0226-222","2018-CA-004109"
"107942-0001.004","16cv1512"
"011235-0001 (6)","13 cr 0438"
"101612-0006","2:16-cv-04999"
"061942-0049-03","551-2015-01825"
"049673-0022    .001","440-2018-08450"
"068244-0011-01","18-cv-02850"
"051439-0362.001","L 4540-15"
"020598-0003","15-094 (CNTR)"
"107942-0001.013","14-cv-9095"
"049673-0000-01","201503661"
"095540-0387.0006","158035/2015"
"026723-0226-064","17-5287"
"088888-0501-04","28E-2018-01468"
"026723-0226-0267","18-00100 "
"011235-0001 (4)","13cv0802"
"112816-0001.003","18 cv 0180"
"121571-0001.01","19-40090"
"106618-0003-001","19-11425"
"026723-0226-132","EF2018-0032"
"119162-0001-01","FST-CV-17-6030693-S"
"100949-0008-01"," 337-TA-1154"
"051137-0022.001","652406/17"
"010601-0085-01","18-2412"
"051078-0318-01","18-2861"
"108425-0001-03","15-4376"
"117184-0001-01","18-12844"
"117421-3000","16-00681"
"068695-0124-85 (2","CV2018155"
"103939-0001-01","524-2015-00662"
"026723-0226-085","17-CI-257"
"061942-0049-10","28-CA-216198"
"049065-0379-01","16-CV-10411"
"060398-0090.002","17 cv 0201"
"069700-3000","15-1912"
"011911-0014-01","14-3844"
"105486-0000-04","511-2015-01973"
"061583-0042-01","01-14-0000-2639"
"022226-0021.002","CV-025220-19"
"103939-0001-04","524-2015-00945"
"105171-0001-002","PAS-L-1854-19"
"026723-0226-052","17-0431"
"051439-0001-01","520-2014-01018"
"MI Temp. Holding (03)","1:14-cv-22675"
"099200-0127.066","154095/18"
"042765-0011  (3)","14-1071"
"041688-0530.001","17 cv 05016"
"001675-0001-02","16-10982"
"064346-0001-01","13-001216 (27)"
"101177-0000-01","56-2018-00508991-CU-CR-VTA"
"045706-0143-01","18-cv-20969"
"026723-0226-055","17-2703"
"103963-0001","A15A1276"
"055089-0012-07"," 21-CA-228012"
"048303-0081-01","0629"
"026723-0226-174","E2018-0209CV"
"112290-0003.001","650753/14"
"028581-0095-10","17-03366"
"104618-0001","10169625"
"115762-0001-04","16-cv-20098"
"PH Temp. Holding (56)","06949"
"026723-0226-164","18-0241"
"026723-0226-025","18-45004"
"001482-0076.001","16A-2017-01556"
"001482-0065.002","1450004867"
"062649-0009.001","15 cv 5940"
"099200-0127.075","570-2018-03543"
"108929-0001-07","15-4706"
"026723-0226-032","259886F"
"070468-0011","9645-VCP"
"063784-0345-04","2019-00597"
"049673-0253.002","RG17855208"
"068695-0124-71","2018CP4602446"
"123909-6003-01","19-cv-03290"
"052339-0095.001","2019-0261"
"068695-0124-61","1:18-op-46137"
"026723-0226-168","2019-L-000052"
"000250-0000","15-21764-cv-KING"
"022226-0017-01","17-cv-09028"
"064776-0011-01","18-cv-00808"
"118544-0014.001","19 cv 1472"
"107063-0009.003","18STCV09692"
"107180-0018-01","MDL 1880"
"PH Temp. Holding (73)","201700193"
"026723-0226 (3)","17-0713"
"107033-0124-01","15-cv-12878"
"026723-0226-046","17-CI-00797"
"MI Temp. Holding (27)","10-cv-01405"
"068695-0124-78","18-op-46133"
"064612-0000-02","515-cv-02207"
"099200-0127.077","570-2018-03530"
"BO Temp. Holding","17-cv-00049"
"063784-0155 .001","16-462"
"068695-0124-83","19-00012"
"026723-0226-111","17-1605"
"115838-0000","EC068249"
"099200-0127.089","1693 SCB 2019"
"060272-0109.002","A-000657-16"
"026723-0226-140","18-0100"
"026723-0226-070","17-2569"
"006819-0516.001","19 cv 5365"
"000032-0033","20581"
"031024-0031.001","JAMS Reference No. 1100104585"
"107120-0011-01","2:14-cv-1956"
"011369-0001","1:13-cv-00331-TSE-IDD"
"001520-0203-07","2017-13013-SP-05"
"002579-0000-04","17-05772"
"099200-0127.021","653777/2016"
"026723-0226-183","CVH-2018-0024"
"060718-0001-2","17CV317094"
"012308-000","0:12-cv-61182-JIC"
"037492-0088 (11)","1:15-cv-02729"
"068695-0124-05","17-2311"
"068695-0124-58","18-00020"
"049673-0525.001","FCS049688"
"099200-0127.071","FO-11-20-19"
"097077-0110.001","307660/2019"
"107675-0001-01","14CV02070 5CV00035"
"037492-0286.002","17-cv-01072"
"026723-0226-071","17-0886"
"107128-0034-01","16-cv-10659"
"002740-5004","15-1855"
"068244-0058-001","19-6988"
"051439-0370.001","16 cv 499"
"PH Temp. Holding (28)","530-2017-00720"
"MI Temp. Holding (23)","17-cv-00035"
"068695-0124-06","17-2296"
"026723-0226-067","17-1024"
"107180-0018-03","MDL 1880"
"052339-0135.001.001","50522/20"
"068695-0124-105","18-op-46278"
"011886-0059-03","16-60089"
"107120-0042-01","15-3185"
"013448-0039","846-2016-04589"
"115762-0001-14","2016-006044-CA-01"
"068695-0124-102"," 18-op-46127"
"064416-5051-01"," IPR2016-01861"
"069457-0061","LACV018851"
"039821-0478.001"," 34-2018-00242133 "
"PH Temp. Holding (18)","2485"
"067326-0024.001","653624/16"
"002579-0454-01","510-2018-01207"
"056572-0007-01","17-14147"
"065669-0027","17CV313034"
"118544-0041.001","19 cv 4478"
